;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
131.12499999999998 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 5.211666666666531 -1.5707963267948966 flow_0_0 0 5.0 2.0,164.455 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,264.445 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,64.46499999999992 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,208.895 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -296.0 1.5707963267948966 flow_10_0 0 5.0 2.0,-220.005 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -264.445 1.5707963267948966 flow_9_0 0 5.0 2.0,-186.675 -2.0 0.0 flow_4_0 0 5.0 2.0,-264.445 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
120.01499999999999 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 4.211666666666531 -1.5707963267948966 flow_0_0 0 5.0 2.0,153.34500000000004 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,253.33499999999999 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,53.354999999999908 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,197.78500000000003 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -291.0 1.5707963267948966 flow_10_0 0 5.0 2.0,-208.895 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -253.33499999999999 1.5707963267948966 flow_9_0 0 5.0 2.0,-175.565 -2.0 0.0 flow_4_0 0 5.0 2.0,-253.33499999999999 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 g,road_1_2_3 g,road_2_1_2 r,
108.90499999999997 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 1.2116666666665313 -1.5707963267948966 flow_0_0 0 5.0 2.0,142.23500000000005 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,242.225 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,42.24499999999989 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,186.675 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -284.0 1.5707963267948966 flow_10_0 0 5.0 2.0,-197.78500000000003 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -242.225 1.5707963267948966 flow_9_0 0 5.0 2.0,-164.455 -2.0 0.0 flow_4_0 0 5.0 2.0,-242.225 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
97.79499999999996 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -3.788333333333469 -1.5707963267948966 flow_0_0 0 5.0 2.0,131.12499999999998 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,231.115 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,31.134999999999878 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,175.565 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -275.0 1.5707963267948966 flow_10_0 0 5.0 2.0,-299.0 -2.0 0.0 flow_11_0 0 5.0 2.0,-186.675 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -231.115 1.5707963267948966 flow_9_0 0 5.0 2.0,-153.34500000000004 -2.0 0.0 flow_4_0 0 5.0 2.0,-231.115 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
86.68499999999995 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -10.788333333333469 -1.5707963267948966 flow_0_0 0 5.0 2.0,120.01499999999999 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -299.0 1.5707963267948966 flow_12_0 0 5.0 2.0,220.005 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,21.41374999999988 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,164.455 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -264.445 1.5707963267948966 flow_10_0 0 5.0 2.0,-296.0 -2.0 0.0 flow_11_0 0 5.0 2.0,-175.565 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -220.005 1.5707963267948966 flow_9_0 0 5.0 2.0,-142.23500000000005 -2.0 0.0 flow_4_0 0 5.0 2.0,-220.005 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
75.57499999999993 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -19.78833333333347 -1.5707963267948966 flow_0_0 0 5.0 2.0,108.90499999999997 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -296.0 1.5707963267948966 flow_12_0 0 5.0 2.0,208.895 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,14.469999999999857 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,153.34500000000004 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -253.33499999999999 1.5707963267948966 flow_10_0 0 5.0 2.0,-291.0 -2.0 0.0 flow_11_0 0 5.0 2.0,-164.455 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -208.895 1.5707963267948966 flow_9_0 0 5.0 2.0,-131.12499999999998 -2.0 0.0 flow_4_0 0 5.0 2.0,-208.895 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
64.46499999999992 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -30.34333333333347 -1.5707963267948966 flow_0_0 0 5.0 2.0,97.79499999999996 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -291.0 1.5707963267948966 flow_12_0 0 5.0 2.0,197.78500000000003 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,9.840833333333194 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-299.0 -2.0 0.0 flow_13_0 0 5.0 2.0,142.23500000000005 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -242.225 1.5707963267948966 flow_10_0 0 5.0 2.0,-284.0 -2.0 0.0 flow_11_0 0 5.0 2.0,-153.34500000000004 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -197.78500000000003 1.5707963267948966 flow_9_0 0 5.0 2.0,-120.01499999999999 -2.0 0.0 flow_4_0 0 5.0 2.0,-197.78500000000003 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
53.354999999999908 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -41.45333333333347 -1.5707963267948966 flow_0_0 0 5.0 2.0,86.68499999999995 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -284.0 1.5707963267948966 flow_12_0 0 5.0 2.0,186.675 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,5.137499999999875 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-296.0 -2.0 0.0 flow_13_0 0 5.0 2.0,131.12499999999998 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -231.115 1.5707963267948966 flow_10_0 0 5.0 2.0,-275.0 -2.0 0.0 flow_11_0 0 5.0 2.0,-142.23500000000005 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -186.675 1.5707963267948966 flow_9_0 0 5.0 2.0,-108.90499999999997 -2.0 0.0 flow_4_0 0 5.0 2.0,-186.675 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 g,road_1_0_1 r,road_1_2_3 r,road_2_1_2 g,
42.24499999999989 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -52.56333333333347 -1.5707963267948966 flow_0_0 0 5.0 2.0,75.57499999999993 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -275.0 1.5707963267948966 flow_12_0 0 5.0 2.0,175.565 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-1.5658333333334438 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-291.0 -2.0 0.0 flow_13_0 0 5.0 2.0,120.01499999999999 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -220.005 1.5707963267948966 flow_10_0 0 5.0 2.0,-264.445 -2.0 0.0 flow_11_0 0 5.0 2.0,-131.12499999999998 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -175.565 1.5707963267948966 flow_9_0 0 5.0 2.0,-97.79499999999996 -2.0 0.0 flow_4_0 0 5.0 2.0,-175.565 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 g,road_1_0_1 r,road_1_2_3 r,road_2_1_2 g,
31.134999999999878 2.0 3.141592653589793 flow_2_0 0 5.0 2.0,-2.0 -63.67333333333347 -1.5707963267948966 flow_0_0 0 5.0 2.0,64.46499999999992 2.0 3.141592653589793 flow_3_0 0 5.0 2.0,2.0 -264.445 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -299.0 1.5707963267948966 flow_14_0 0 5.0 2.0,164.455 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-10.269166666666778 2.0 3.141592653589793 flow_1_0 0 5.0 2.0,-284.0 -2.0 0.0 flow_13_0 0 5.0 2.0,108.90499999999997 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -208.895 1.5707963267948966 flow_10_0 0 5.0 2.0,-253.33499999999999 -2.0 0.0 flow_11_0 0 5.0 2.0,-120.01499999999999 -2.0 0.0 flow_6_0 0 5.0 2.0,2.0 -164.455 1.5707963267948966 flow_9_0 0 5.0 2.0,-86.68499999999995 -2.0 0.0 flow_4_0 0 5.0 2.0,-164.455 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 g,road_1_0_1 r,road_1_2_3 r,road_2_1_2 g,
