;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -13.371894209624088 1.5707963267948966 flow_15_0 0 5.0 2.0,2.0 -44.82019760542681 1.5707963267948966 flow_22_0 0 5.0 2.0,-29.439400760590958 -2.0 0.0 flow_24_0 0 5.0 2.0,31.93596845417403 2.0 3.141592653589793 flow_27_0 0 5.0 2.0,2.0 -21.026478691463866 1.5707963267948966 flow_17_0 0 5.0 2.0,-2.0 284.0 -1.5707963267948966 flow_30_0 0 5.0 2.0,2.0 -59.894102814967769 1.5707963267948966 flow_26_0 0 5.0 2.0,164.455 2.0 3.141592653589793 flow_28_0 0 5.0 2.0,5.073228018647285 2.0 3.141592653589793 flow_21_0 0 5.0 2.0,2.0 129.9173611111113 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -4.3387244365675319 1.5707963267948966 flow_14_0 0 5.0 2.0,-51.963925985318748 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-5.041800944528347 -2.0 0.0 flow_13_0 0 5.0 2.0,-197.18694406978467 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -164.455 1.5707963267948966 flow_29_0 0 5.0 2.0,2.0 263.7783333333336 1.5707963267948966 flow_10_0 0 5.0 2.0,2.0 -36.47001265202738 1.5707963267948966 flow_19_0 0 5.0 2.0,-13.506382646957775 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -28.53491972722054 1.5707963267948966 flow_18_0 0 5.0 2.0,-21.006382646957776 -2.0 0.0 flow_20_0 0 5.0 2.0,2.0 -52.32019760542681 1.5707963267948966 flow_23_0 0 5.0 2.0,2.0 -296.0 1.5707963267948966 flow_31_0 0 5.0 2.0,51.99504081378071 -2.0 0.0 flow_11_0 0 5.0 2.0,13.474842270870568 2.0 3.141592653589793 flow_25_0 0 5.0 2.0,197.18694406978467 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 g,road_1_2_3 g,road_2_1_2 r,
2.0 -12.371894209624088 1.5707963267948966 flow_15_0 0 5.0 2.0,2.0 -44.82019760542681 1.5707963267948966 flow_22_0 0 5.0 2.0,-28.525736044303359 -2.0 0.0 flow_24_0 0 5.0 2.0,24.489711671687475 2.0 3.141592653589793 flow_27_0 0 5.0 2.0,2.0 -21.026478691463866 1.5707963267948966 flow_17_0 0 5.0 2.0,-2.0 275.0 -1.5707963267948966 flow_30_0 0 5.0 2.0,2.0 -59.894102814967769 1.5707963267948966 flow_26_0 0 5.0 2.0,153.34500000000004 2.0 3.141592653589793 flow_28_0 0 5.0 2.0,5.073228018647285 2.0 3.141592653589793 flow_21_0 0 5.0 2.0,2.0 141.02736111111128 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 -1.3387244365675318 1.5707963267948966 flow_14_0 0 5.0 2.0,-63.073925985318748 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-5.041800944528347 -2.0 0.0 flow_13_0 0 5.0 2.0,-208.29694406978465 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -153.34500000000004 1.5707963267948966 flow_29_0 0 5.0 2.0,2.0 274.8883333333336 1.5707963267948966 flow_10_0 0 5.0 2.0,2.0 -36.47001265202738 1.5707963267948966 flow_19_0 0 5.0 2.0,-13.506382646957775 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -28.53491972722054 1.5707963267948966 flow_18_0 0 5.0 2.0,-21.006382646957776 -2.0 0.0 flow_20_0 0 5.0 2.0,2.0 -52.32019760542681 1.5707963267948966 flow_23_0 0 5.0 2.0,2.0 -291.0 1.5707963267948966 flow_31_0 0 5.0 2.0,63.10504081378071 -2.0 0.0 flow_11_0 0 5.0 2.0,13.474842270870568 2.0 3.141592653589793 flow_25_0 0 5.0 2.0,208.29694406978465 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 g,road_1_2_3 g,road_2_1_2 r,
2.0 -9.565260255012788 1.5707963267948966 flow_15_0 0 5.0 2.0,2.0 -44.82019760542681 1.5707963267948966 flow_22_0 0 5.0 2.0,-28.525736044303359 -2.0 0.0 flow_24_0 0 5.0 2.0,21.15710421880516 2.0 3.141592653589793 flow_27_0 0 5.0 2.0,2.0 -20.121894209624089 1.5707963267948966 flow_17_0 0 5.0 2.0,-2.0 264.445 -1.5707963267948966 flow_30_0 0 5.0 2.0,2.0 -59.894102814967769 1.5707963267948966 flow_26_0 0 5.0 2.0,142.23500000000005 2.0 3.141592653589793 flow_28_0 0 5.0 2.0,5.073228018647285 2.0 3.141592653589793 flow_21_0 0 5.0 2.0,2.0 152.13736111111127 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 3.6612755634324687 1.5707963267948966 flow_14_0 0 5.0 2.0,-74.18392598531875 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-5.041800944528347 -2.0 0.0 flow_13_0 0 5.0 2.0,-219.40694406978472 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -142.23500000000005 1.5707963267948966 flow_29_0 0 5.0 2.0,2.0 285.9983333333336 1.5707963267948966 flow_10_0 0 5.0 2.0,2.0 -36.47001265202738 1.5707963267948966 flow_19_0 0 5.0 2.0,-13.506382646957775 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -28.53491972722054 1.5707963267948966 flow_18_0 0 5.0 2.0,-21.006382646957776 -2.0 0.0 flow_20_0 0 5.0 2.0,2.0 -299.0 1.5707963267948966 flow_32_0 0 5.0 2.0,2.0 -52.32019760542681 1.5707963267948966 flow_23_0 0 5.0 2.0,2.0 -284.0 1.5707963267948966 flow_31_0 0 5.0 2.0,74.21504081378072 -2.0 0.0 flow_11_0 0 5.0 2.0,13.474842270870568 2.0 3.141592653589793 flow_25_0 0 5.0 2.0,219.40694406978472 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -6.85530932309581 1.5707963267948966 flow_15_0 0 5.0 2.0,2.0 -44.82019760542681 1.5707963267948966 flow_22_0 0 5.0 2.0,-28.525736044303359 -2.0 0.0 flow_24_0 0 5.0 2.0,20.974842270870569 2.0 3.141592653589793 flow_27_0 0 5.0 2.0,2.0 -17.564246251385499 1.5707963267948966 flow_17_0 0 5.0 2.0,-2.0 253.33499999999999 -1.5707963267948966 flow_30_0 0 5.0 2.0,2.0 -59.894102814967769 1.5707963267948966 flow_26_0 0 5.0 2.0,131.12499999999998 2.0 3.141592653589793 flow_28_0 0 5.0 2.0,5.073228018647285 2.0 3.141592653589793 flow_21_0 0 5.0 2.0,2.0 163.24736111111128 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 10.661275563432469 1.5707963267948966 flow_14_0 0 5.0 2.0,-85.29392598531875 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-5.041800944528347 -2.0 0.0 flow_13_0 0 5.0 2.0,-230.5169440697847 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -131.12499999999998 1.5707963267948966 flow_29_0 0 5.0 2.0,2.0 297.10833333333366 1.5707963267948966 flow_10_0 0 5.0 2.0,2.0 -36.47001265202738 1.5707963267948966 flow_19_0 0 5.0 2.0,-13.506382646957775 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -28.062725245944536 1.5707963267948966 flow_18_0 0 5.0 2.0,-21.006382646957776 -2.0 0.0 flow_20_0 0 5.0 2.0,2.0 -296.0 1.5707963267948966 flow_32_0 0 5.0 2.0,2.0 -52.32019760542681 1.5707963267948966 flow_23_0 0 5.0 2.0,-299.0 -2.0 0.0 flow_33_0 0 5.0 2.0,2.0 -275.0 1.5707963267948966 flow_31_0 0 5.0 2.0,85.32504081378072 -2.0 0.0 flow_11_0 0 5.0 2.0,13.474842270870568 2.0 3.141592653589793 flow_25_0 0 5.0 2.0,230.5169440697847 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -5.500333857137321 1.5707963267948966 flow_15_0 0 5.0 2.0,2.0 -44.82019760542681 1.5707963267948966 flow_22_0 0 5.0 2.0,-28.525736044303359 -2.0 0.0 flow_24_0 0 5.0 2.0,20.974842270870569 2.0 3.141592653589793 flow_27_0 0 5.0 2.0,2.0 -14.673489009759578 1.5707963267948966 flow_17_0 0 5.0 2.0,-2.0 242.225 -1.5707963267948966 flow_30_0 0 5.0 2.0,2.0 -59.894102814967769 1.5707963267948966 flow_26_0 0 5.0 2.0,120.01499999999999 2.0 3.141592653589793 flow_28_0 0 5.0 2.0,5.073228018647285 2.0 3.141592653589793 flow_21_0 0 5.0 2.0,2.0 174.3573611111113 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 19.66127556343247 1.5707963267948966 flow_14_0 0 5.0 2.0,-96.40392598531875 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-5.041800944528347 -2.0 0.0 flow_13_0 0 5.0 2.0,-241.6269440697847 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -120.01499999999999 1.5707963267948966 flow_29_0 0 5.0 2.0,2.0 -36.47001265202738 1.5707963267948966 flow_19_0 0 5.0 2.0,-13.506382646957775 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -26.118336283392524 1.5707963267948966 flow_18_0 0 5.0 2.0,-21.006382646957776 -2.0 0.0 flow_20_0 0 5.0 2.0,2.0 -291.0 1.5707963267948966 flow_32_0 0 5.0 2.0,2.0 -52.32019760542681 1.5707963267948966 flow_23_0 0 5.0 2.0,-296.0 -2.0 0.0 flow_33_0 0 5.0 2.0,2.0 -264.445 1.5707963267948966 flow_31_0 0 5.0 2.0,96.43504081378073 -2.0 0.0 flow_11_0 0 5.0 2.0,13.474842270870568 2.0 3.141592653589793 flow_25_0 0 5.0 2.0,241.6269440697847 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -5.04867536848451 1.5707963267948966 flow_15_0 0 5.0 2.0,2.0 -44.82019760542681 1.5707963267948966 flow_22_0 0 5.0 2.0,-28.525736044303359 -2.0 0.0 flow_24_0 0 5.0 2.0,20.974842270870569 2.0 3.141592653589793 flow_27_0 0 5.0 2.0,2.0 -13.109323114604536 1.5707963267948966 flow_17_0 0 5.0 2.0,-2.0 231.115 -1.5707963267948966 flow_30_0 0 5.0 2.0,2.0 -59.894102814967769 1.5707963267948966 flow_26_0 0 5.0 2.0,108.90499999999997 2.0 3.141592653589793 flow_28_0 0 5.0 2.0,5.073228018647285 2.0 3.141592653589793 flow_21_0 0 5.0 2.0,2.0 185.46736111111128 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 30.21627556343247 1.5707963267948966 flow_14_0 0 5.0 2.0,-107.51392598531875 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-5.041800944528347 -2.0 0.0 flow_13_0 0 5.0 2.0,2.0 -299.0 1.5707963267948966 flow_34_0 0 5.0 2.0,-252.73694406978474 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -108.90499999999997 1.5707963267948966 flow_29_0 0 5.0 2.0,2.0 -35.47001265202738 1.5707963267948966 flow_19_0 0 5.0 2.0,-13.506382646957775 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -23.10963359434453 1.5707963267948966 flow_18_0 0 5.0 2.0,-21.006382646957776 -2.0 0.0 flow_20_0 0 5.0 2.0,2.0 -284.0 1.5707963267948966 flow_32_0 0 5.0 2.0,2.0 -52.32019760542681 1.5707963267948966 flow_23_0 0 5.0 2.0,-291.0 -2.0 0.0 flow_33_0 0 5.0 2.0,2.0 -253.33499999999999 1.5707963267948966 flow_31_0 0 5.0 2.0,107.54504081378072 -2.0 0.0 flow_11_0 0 5.0 2.0,13.474842270870568 2.0 3.141592653589793 flow_25_0 0 5.0 2.0,252.73694406978474 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -5.04867536848451 1.5707963267948966 flow_15_0 0 5.0 2.0,2.0 -43.82019760542681 1.5707963267948966 flow_22_0 0 5.0 2.0,-28.525736044303359 -2.0 0.0 flow_24_0 0 5.0 2.0,20.974842270870569 2.0 3.141592653589793 flow_27_0 0 5.0 2.0,2.0 -13.061952424995809 1.5707963267948966 flow_17_0 0 5.0 2.0,-2.0 220.005 -1.5707963267948966 flow_30_0 0 5.0 2.0,2.0 -59.894102814967769 1.5707963267948966 flow_26_0 0 5.0 2.0,97.79499999999996 2.0 3.141592653589793 flow_28_0 0 5.0 2.0,5.073228018647285 2.0 3.141592653589793 flow_21_0 0 5.0 2.0,2.0 196.57736111111135 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 41.32627556343247 1.5707963267948966 flow_14_0 0 5.0 2.0,-118.62392598531875 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-5.041800944528347 -2.0 0.0 flow_13_0 0 5.0 2.0,2.0 -296.0 1.5707963267948966 flow_34_0 0 5.0 2.0,-263.84694406978476 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -97.79499999999996 1.5707963267948966 flow_29_0 0 5.0 2.0,2.0 -32.58333355738199 1.5707963267948966 flow_19_0 0 5.0 2.0,-13.506382646957775 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -20.816433551136244 1.5707963267948966 flow_18_0 0 5.0 2.0,-21.006382646957776 -2.0 0.0 flow_20_0 0 5.0 2.0,2.0 -275.0 1.5707963267948966 flow_32_0 0 5.0 2.0,2.0 -52.32019760542681 1.5707963267948966 flow_23_0 0 5.0 2.0,-284.0 -2.0 0.0 flow_33_0 0 5.0 2.0,2.0 -242.225 1.5707963267948966 flow_31_0 0 5.0 2.0,118.65504081378072 -2.0 0.0 flow_11_0 0 5.0 2.0,13.474842270870568 2.0 3.141592653589793 flow_25_0 0 5.0 2.0,263.84694406978476 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -5.04867536848451 1.5707963267948966 flow_15_0 0 5.0 2.0,2.0 -41.018153157959719 1.5707963267948966 flow_22_0 0 5.0 2.0,-28.525736044303359 -2.0 0.0 flow_24_0 0 5.0 2.0,20.974842270870569 2.0 3.141592653589793 flow_27_0 0 5.0 2.0,2.0 -13.061952424995809 1.5707963267948966 flow_17_0 0 5.0 2.0,-2.0 208.895 -1.5707963267948966 flow_30_0 0 5.0 2.0,2.0 -59.894102814967769 1.5707963267948966 flow_26_0 0 5.0 2.0,86.68499999999995 2.0 3.141592653589793 flow_28_0 0 5.0 2.0,4.073228018647285 2.0 3.141592653589793 flow_21_0 0 5.0 2.0,2.0 207.68736111111134 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 52.43627556343247 1.5707963267948966 flow_14_0 0 5.0 2.0,-129.73392598531877 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-4.041800944528347 -2.0 0.0 flow_13_0 0 5.0 2.0,2.0 -291.0 1.5707963267948966 flow_34_0 0 5.0 2.0,-274.95694406978478 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -86.68499999999995 1.5707963267948966 flow_29_0 0 5.0 2.0,2.0 -29.191936094400206 1.5707963267948966 flow_19_0 0 5.0 2.0,-13.506382646957775 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -20.56195242499581 1.5707963267948966 flow_18_0 0 5.0 2.0,-21.006382646957776 -2.0 0.0 flow_20_0 0 5.0 2.0,2.0 -264.445 1.5707963267948966 flow_32_0 0 5.0 2.0,2.0 -51.570197605426788 1.5707963267948966 flow_23_0 0 5.0 2.0,-275.0 -2.0 0.0 flow_33_0 0 5.0 2.0,2.0 -231.115 1.5707963267948966 flow_31_0 0 5.0 2.0,129.76504081378074 -2.0 0.0 flow_11_0 0 5.0 2.0,13.474842270870568 2.0 3.141592653589793 flow_25_0 0 5.0 2.0,274.95694406978478 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 g,road_1_0_1 r,road_1_2_3 r,road_2_1_2 g,
2.0 -5.04867536848451 1.5707963267948966 flow_15_0 0 5.0 2.0,2.0 -37.54992162411344 1.5707963267948966 flow_22_0 0 5.0 2.0,-28.525736044303359 -2.0 0.0 flow_24_0 0 5.0 2.0,20.974842270870569 2.0 3.141592653589793 flow_27_0 0 5.0 2.0,2.0 -13.061952424995809 1.5707963267948966 flow_17_0 0 5.0 2.0,-2.0 197.78500000000003 -1.5707963267948966 flow_30_0 0 5.0 2.0,2.0 -59.82019760542681 1.5707963267948966 flow_26_0 0 5.0 2.0,75.57499999999993 2.0 3.141592653589793 flow_28_0 0 5.0 2.0,1.0732280186472852 2.0 3.141592653589793 flow_21_0 0 5.0 2.0,2.0 218.79736111111135 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 63.54627556343247 1.5707963267948966 flow_14_0 0 5.0 2.0,-140.84392598531876 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,-1.0418009445283477 -2.0 0.0 flow_13_0 0 5.0 2.0,-299.0 -2.0 0.0 flow_35_0 0 5.0 2.0,2.0 -284.0 1.5707963267948966 flow_34_0 0 5.0 2.0,-286.06694406978479 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -76.7718205629935 1.5707963267948966 flow_29_0 0 5.0 2.0,2.0 -28.18563504195174 1.5707963267948966 flow_19_0 0 5.0 2.0,-12.506382646957775 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -20.56195242499581 1.5707963267948966 flow_18_0 0 5.0 2.0,-21.006382646957776 -2.0 0.0 flow_20_0 0 5.0 2.0,2.0 -253.33499999999999 1.5707963267948966 flow_32_0 0 5.0 2.0,2.0 -49.13897093694655 1.5707963267948966 flow_23_0 0 5.0 2.0,-264.445 -2.0 0.0 flow_33_0 0 5.0 2.0,2.0 -220.005 1.5707963267948966 flow_31_0 0 5.0 2.0,140.87504081378072 -2.0 0.0 flow_11_0 0 5.0 2.0,12.474842270870568 2.0 3.141592653589793 flow_25_0 0 5.0 2.0,286.06694406978479 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -5.04867536848451 1.5707963267948966 flow_15_0 0 5.0 2.0,2.0 -36.31606410997267 1.5707963267948966 flow_22_0 0 5.0 2.0,-28.525736044303359 -2.0 0.0 flow_24_0 0 5.0 2.0,20.224842270870569 2.0 3.141592653589793 flow_27_0 0 5.0 2.0,2.0 -13.061952424995809 1.5707963267948966 flow_17_0 0 5.0 2.0,-2.0 186.675 -1.5707963267948966 flow_30_0 0 5.0 2.0,2.0 -58.672387186344909 1.5707963267948966 flow_26_0 0 5.0 2.0,64.46499999999992 2.0 3.141592653589793 flow_28_0 0 5.0 2.0,-3.926771981352715 2.0 3.141592653589793 flow_21_0 0 5.0 2.0,2.0 229.90736111111137 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 74.65627556343248 1.5707963267948966 flow_14_0 0 5.0 2.0,-151.95392598531874 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,3.9581990554716528 -2.0 0.0 flow_13_0 0 5.0 2.0,-296.0 -2.0 0.0 flow_35_0 0 5.0 2.0,2.0 -275.0 1.5707963267948966 flow_34_0 0 5.0 2.0,-297.1769440697848 2.0 3.141592653589793 flow_5_0 0 5.0 2.0,2.0 -70.00853549256553 1.5707963267948966 flow_29_0 0 5.0 2.0,2.0 -28.18563504195174 1.5707963267948966 flow_19_0 0 5.0 2.0,-9.613466306471878 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -20.56195242499581 1.5707963267948966 flow_18_0 0 5.0 2.0,2.0 -299.0 1.5707963267948966 flow_36_0 0 5.0 2.0,-20.256382646957776 -2.0 0.0 flow_20_0 0 5.0 2.0,2.0 -242.225 1.5707963267948966 flow_32_0 0 5.0 2.0,2.0 -45.80669698862383 1.5707963267948966 flow_23_0 0 5.0 2.0,-253.33499999999999 -2.0 0.0 flow_33_0 0 5.0 2.0,2.0 -208.895 1.5707963267948966 flow_31_0 0 5.0 2.0,151.9850408137807 -2.0 0.0 flow_11_0 0 5.0 2.0,9.594519420425911 2.0 3.141592653589793 flow_25_0 0 5.0 2.0,297.1769440697848 -2.0 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -5.04867536848451 1.5707963267948966 flow_15_0 0 5.0 2.0,2.0 -36.31606410997267 1.5707963267948966 flow_22_0 0 5.0 2.0,-28.506382646957776 -2.0 0.0 flow_24_0 0 5.0 2.0,17.746648560603775 2.0 3.141592653589793 flow_27_0 0 5.0 2.0,2.0 -13.061952424995809 1.5707963267948966 flow_17_0 0 5.0 2.0,-2.0 175.565 -1.5707963267948966 flow_30_0 0 5.0 2.0,2.0 -55.579706067230947 1.5707963267948966 flow_26_0 0 5.0 2.0,53.354999999999908 2.0 3.141592653589793 flow_28_0 0 5.0 2.0,-10.926771981352715 2.0 3.141592653589793 flow_21_0 0 5.0 2.0,2.0 241.01736111111138 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 85.76627556343247 1.5707963267948966 flow_14_0 0 5.0 2.0,-163.06392598531876 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,10.958199055471653 -2.0 0.0 flow_13_0 0 5.0 2.0,-291.0 -2.0 0.0 flow_35_0 0 5.0 2.0,2.0 -264.445 1.5707963267948966 flow_34_0 0 5.0 2.0,2.0 -66.35382601578886 1.5707963267948966 flow_29_0 0 5.0 2.0,2.0 -28.18563504195174 1.5707963267948966 flow_19_0 0 5.0 2.0,-6.774091795743061 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -20.56195242499581 1.5707963267948966 flow_18_0 0 5.0 2.0,2.0 -296.0 1.5707963267948966 flow_36_0 0 5.0 2.0,-17.77063284266626 -2.0 0.0 flow_20_0 0 5.0 2.0,2.0 -231.115 1.5707963267948966 flow_32_0 0 5.0 2.0,2.0 -44.59516049072374 1.5707963267948966 flow_23_0 0 5.0 2.0,-242.225 -2.0 0.0 flow_33_0 0 5.0 2.0,2.0 -197.78500000000003 1.5707963267948966 flow_31_0 0 5.0 2.0,163.0950408137807 -2.0 0.0 flow_11_0 0 5.0 2.0,6.774035144758955 2.0 3.141592653589793 flow_25_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -5.04867536848451 1.5707963267948966 flow_15_0 0 5.0 2.0,2.0 -36.31606410997267 1.5707963267948966 flow_22_0 0 5.0 2.0,-299.0 -2.0 0.0 flow_38_0 0 5.0 2.0,-27.46767585226661 -2.0 0.0 flow_24_0 0 5.0 2.0,14.67881028305618 2.0 3.141592653589793 flow_27_0 0 5.0 2.0,2.0 -13.061952424995809 1.5707963267948966 flow_17_0 0 5.0 2.0,-2.0 164.455 -1.5707963267948966 flow_30_0 0 5.0 2.0,2.0 -52.54967016631747 1.5707963267948966 flow_26_0 0 5.0 2.0,42.24499999999989 2.0 3.141592653589793 flow_28_0 0 5.0 2.0,-19.926771981352716 2.0 3.141592653589793 flow_21_0 0 5.0 2.0,2.0 252.12736111111139 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 96.87627556343247 1.5707963267948966 flow_14_0 0 5.0 2.0,-174.17392598531877 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,19.958199055471654 -2.0 0.0 flow_13_0 0 5.0 2.0,-284.0 -2.0 0.0 flow_35_0 0 5.0 2.0,299.0 2.0 3.141592653589793 flow_37_0 0 5.0 2.0,2.0 -253.33499999999999 1.5707963267948966 flow_34_0 0 5.0 2.0,2.0 -63.3918085875639 1.5707963267948966 flow_29_0 0 5.0 2.0,2.0 -28.18563504195174 1.5707963267948966 flow_19_0 0 5.0 2.0,-5.827633625500141 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -20.56195242499581 1.5707963267948966 flow_18_0 0 5.0 2.0,2.0 -291.0 1.5707963267948966 flow_36_0 0 5.0 2.0,-14.685375337044832 -2.0 0.0 flow_20_0 0 5.0 2.0,2.0 -220.005 1.5707963267948966 flow_32_0 0 5.0 2.0,2.0 -44.59516049072374 1.5707963267948966 flow_23_0 0 5.0 2.0,-231.115 -2.0 0.0 flow_33_0 0 5.0 2.0,2.0 -186.675 1.5707963267948966 flow_31_0 0 5.0 2.0,174.20504081378074 -2.0 0.0 flow_11_0 0 5.0 2.0,5.833873719536655 2.0 3.141592653589793 flow_25_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
2.0 -5.04867536848451 1.5707963267948966 flow_15_0 0 5.0 2.0,2.0 -36.31606410997267 1.5707963267948966 flow_22_0 0 5.0 2.0,-296.0 -2.0 0.0 flow_38_0 0 5.0 2.0,-24.555929950813835 -2.0 0.0 flow_24_0 0 5.0 2.0,13.881189142325127 2.0 3.141592653589793 flow_27_0 0 5.0 2.0,2.0 -13.061952424995809 1.5707963267948966 flow_17_0 0 5.0 2.0,-2.0 153.34500000000004 -1.5707963267948966 flow_30_0 0 5.0 2.0,2.0 -52.09516049072374 1.5707963267948966 flow_26_0 0 5.0 2.0,31.908833143154994 2.0 3.141592653589793 flow_28_0 0 5.0 2.0,-30.481771981352716 2.0 3.141592653589793 flow_21_0 0 5.0 2.0,2.0 263.2373611111114 1.5707963267948966 flow_12_0 0 5.0 2.0,2.0 107.98627556343249 1.5707963267948966 flow_14_0 0 5.0 2.0,-185.28392598531878 2.0 3.141592653589793 flow_7_0 0 5.0 2.0,30.51319905547165 -2.0 0.0 flow_13_0 0 5.0 2.0,-275.0 -2.0 0.0 flow_35_0 0 5.0 2.0,296.0 2.0 3.141592653589793 flow_37_0 0 5.0 2.0,2.0 -242.225 1.5707963267948966 flow_34_0 0 5.0 2.0,2.0 -60.364076857055469 1.5707963267948966 flow_29_0 0 5.0 2.0,2.0 -28.18563504195174 1.5707963267948966 flow_19_0 0 5.0 2.0,-5.827633625500141 -2.0 0.0 flow_16_0 0 5.0 2.0,2.0 -20.56195242499581 1.5707963267948966 flow_18_0 0 5.0 2.0,2.0 -284.0 1.5707963267948966 flow_36_0 0 5.0 2.0,-13.875965987734333 -2.0 0.0 flow_20_0 0 5.0 2.0,2.0 -208.895 1.5707963267948966 flow_32_0 0 5.0 2.0,2.0 -44.59516049072374 1.5707963267948966 flow_23_0 0 5.0 2.0,-220.005 -2.0 0.0 flow_33_0 0 5.0 2.0,2.0 -175.565 1.5707963267948966 flow_31_0 0 5.0 2.0,185.31504081378075 -2.0 0.0 flow_11_0 0 5.0 2.0,5.833873719536655 2.0 3.141592653589793 flow_25_0 0 5.0 2.0,2.0 -299.0 1.5707963267948966 flow_39_0 0 5.0 2.0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
