;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
208.6586233885697 -4.5 0.0 flow_22_0 0 5.0 2.0,235.8783333333335 -4.5 0.0 flow_17_0 0 5.0 2.0,-235.8783333333335 4.5 3.141592653589793 flow_24_0 0 5.0 2.0,4.5 -18.199013731555227 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 -220.005 1.5707963267948966 flow_45_0 0 5.0 2.0,4.5 -25.699013731555227 1.5707963267948966 flow_30_0 0 5.0 2.0,-242.225 -4.5 0.0 flow_46_0 0 5.0 2.0,4.5 -186.675 1.5707963267948966 flow_41_0 0 5.0 2.0,181.44153138866228 -4.5 0.0 flow_28_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,-275.0 -4.5 0.0 flow_47_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,-4.5 53.354999999999908 -1.5707963267948966 flow_35_0 0 5.0 2.0,-208.6586233885697 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,4.5 -253.335 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 -108.90499999999997 1.5707963267948966 flow_37_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 -33.199013731555229 1.5707963267948966 flow_34_0 0 5.0 2.0,208.89499999999999 4.5 3.141592653589793 flow_42_0 0 5.0 2.0,-175.565 -4.5 0.0 flow_40_0 0 5.0 2.0,208.89499999999999 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,4.5 -75.57499999999993 1.5707963267948966 flow_36_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,-120.01499999999999 -4.5 0.0 flow_38_0 0 5.0 2.0,-181.44159652136455 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-68.85500000000016 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-208.89499999999999 -4.5 0.0 flow_44_0 0 5.0 2.0,4.5 -10.013408514262608 1.5707963267948966 flow_25_0 0 5.0 2.0,-296.0 -4.5 0.0 flow_49_0 0 5.0 2.0,4.5 -142.235 1.5707963267948966 flow_39_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
219.76850736647524 -4.5 0.0 flow_22_0 0 5.0 2.0,246.98833333333352 -4.5 0.0 flow_17_0 0 5.0 2.0,-246.98833333333352 4.5 3.141592653589793 flow_24_0 0 5.0 2.0,4.5 -18.199013731555227 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 -208.89499999999999 1.5707963267948966 flow_45_0 0 5.0 2.0,4.5 -25.699013731555227 1.5707963267948966 flow_30_0 0 5.0 2.0,-231.115 -4.5 0.0 flow_46_0 0 5.0 2.0,4.5 -175.565 1.5707963267948966 flow_41_0 0 5.0 2.0,192.55032951459376 -4.5 0.0 flow_28_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,-264.445 -4.5 0.0 flow_47_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,-4.5 42.24499999999989 -1.5707963267948966 flow_35_0 0 5.0 2.0,-219.76850736647524 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,4.5 -242.225 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 -97.79499999999996 1.5707963267948966 flow_37_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 -33.199013731555229 1.5707963267948966 flow_34_0 0 5.0 2.0,197.78500000000003 4.5 3.141592653589793 flow_42_0 0 5.0 2.0,-164.455 -4.5 0.0 flow_40_0 0 5.0 2.0,197.78500000000003 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,4.5 -64.46499999999992 1.5707963267948966 flow_36_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,-108.90499999999997 -4.5 0.0 flow_38_0 0 5.0 2.0,-192.5503685942151 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-79.96500000000015 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-197.78500000000003 -4.5 0.0 flow_44_0 0 5.0 2.0,4.5 -9.013408514262608 1.5707963267948966 flow_25_0 0 5.0 2.0,-291.0 -4.5 0.0 flow_49_0 0 5.0 2.0,4.5 -131.125 1.5707963267948966 flow_39_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
230.87843775321853 -4.5 0.0 flow_22_0 0 5.0 2.0,258.0983333333335 -4.5 0.0 flow_17_0 0 5.0 2.0,-258.0983333333335 4.5 3.141592653589793 flow_24_0 0 5.0 2.0,4.5 -17.199013731555227 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 -197.78500000000003 1.5707963267948966 flow_45_0 0 5.0 2.0,4.5 -25.699013731555227 1.5707963267948966 flow_30_0 0 5.0 2.0,-220.005 -4.5 0.0 flow_46_0 0 5.0 2.0,4.5 -164.455 1.5707963267948966 flow_41_0 0 5.0 2.0,203.65957745092747 -4.5 0.0 flow_28_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,-253.335 -4.5 0.0 flow_47_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,-4.5 31.134999999999878 -1.5707963267948966 flow_35_0 0 5.0 2.0,-230.87843775321853 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,4.5 -231.115 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 -86.68499999999995 1.5707963267948966 flow_37_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 -33.199013731555229 1.5707963267948966 flow_34_0 0 5.0 2.0,-299.0 -4.5 0.0 flow_50_0 0 5.0 2.0,186.675 4.5 3.141592653589793 flow_42_0 0 5.0 2.0,-153.34500000000004 -4.5 0.0 flow_40_0 0 5.0 2.0,186.675 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,4.5 -53.65680274631097 1.5707963267948966 flow_36_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,-97.79499999999996 -4.5 0.0 flow_38_0 0 5.0 2.0,-203.65960089870024 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-91.07500000000015 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-186.675 -4.5 0.0 flow_44_0 0 5.0 2.0,4.5 -6.013408514262608 1.5707963267948966 flow_25_0 0 5.0 2.0,-284.0 -4.5 0.0 flow_49_0 0 5.0 2.0,4.5 -120.01499999999999 1.5707963267948966 flow_39_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
241.98839598526454 -4.5 0.0 flow_22_0 0 5.0 2.0,269.20833333333357 -4.5 0.0 flow_17_0 0 5.0 2.0,-269.20833333333357 4.5 3.141592653589793 flow_24_0 0 5.0 2.0,4.5 -14.361892688096703 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 -186.675 1.5707963267948966 flow_45_0 0 5.0 2.0,4.5 -24.949013731555227 1.5707963267948966 flow_30_0 0 5.0 2.0,-208.89499999999999 -4.5 0.0 flow_46_0 0 5.0 2.0,4.5 -153.34500000000004 1.5707963267948966 flow_41_0 0 5.0 2.0,214.76910764919257 -4.5 0.0 flow_28_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,-242.225 -4.5 0.0 flow_47_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,-4.5 20.024999999999865 -1.5707963267948966 flow_35_0 0 5.0 2.0,-241.98839598526454 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,4.5 -220.005 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 -75.57499999999993 1.5707963267948966 flow_37_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 -33.199013731555229 1.5707963267948966 flow_34_0 0 5.0 2.0,-296.0 -4.5 0.0 flow_50_0 0 5.0 2.0,175.565 4.5 3.141592653589793 flow_42_0 0 5.0 2.0,-142.235 -4.5 0.0 flow_40_0 0 5.0 2.0,175.565 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,4.5 -45.31204768967089 1.5707963267948966 flow_36_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,-86.68499999999995 -4.5 0.0 flow_38_0 0 5.0 2.0,-214.76912171785623 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-102.18500000000015 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-175.565 -4.5 0.0 flow_44_0 0 5.0 2.0,4.5 -1.0134085142626078 1.5707963267948966 flow_25_0 0 5.0 2.0,-275.0 -4.5 0.0 flow_49_0 0 5.0 2.0,4.5 -108.90499999999997 1.5707963267948966 flow_39_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
253.09837092449215 -4.5 0.0 flow_22_0 0 5.0 2.0,280.31833333333358 -4.5 0.0 flow_17_0 0 5.0 2.0,-280.31833333333358 4.5 3.141592653589793 flow_24_0 0 5.0 2.0,4.5 -10.022499018563054 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 -175.565 1.5707963267948966 flow_45_0 0 5.0 2.0,4.5 -22.496741105480113 1.5707963267948966 flow_30_0 0 5.0 2.0,-197.78500000000003 -4.5 0.0 flow_46_0 0 5.0 2.0,4.5 -142.235 1.5707963267948966 flow_41_0 0 5.0 2.0,225.87881463003056 -4.5 0.0 flow_28_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,-231.115 -4.5 0.0 flow_47_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,-4.5 8.91499999999985 -1.5707963267948966 flow_35_0 0 5.0 2.0,-253.09837092449215 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,4.5 -208.89499999999999 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 -64.46499999999992 1.5707963267948966 flow_37_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 -33.199013731555229 1.5707963267948966 flow_34_0 0 5.0 2.0,-291.0 -4.5 0.0 flow_50_0 0 5.0 2.0,164.455 4.5 3.141592653589793 flow_42_0 0 5.0 2.0,-131.125 -4.5 0.0 flow_40_0 0 5.0 2.0,164.455 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,4.5 -41.180092382998967 1.5707963267948966 flow_36_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,-75.57499999999993 -4.5 0.0 flow_38_0 0 5.0 2.0,-225.8788230712287 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-113.29500000000015 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-164.455 -4.5 0.0 flow_44_0 0 5.0 2.0,4.499999999999999 5.986591485737392 1.570796326794897 flow_25_0 0 5.0 2.0,-264.445 -4.5 0.0 flow_49_0 0 5.0 2.0,4.5 -97.79499999999996 1.5707963267948966 flow_39_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
264.2083558880287 -4.5 0.0 flow_22_0 0 5.0 2.0,291.42833333333359 -4.5 0.0 flow_17_0 0 5.0 2.0,-291.42833333333359 4.5 3.141592653589793 flow_24_0 0 5.0 2.0,4.5 -4.218862816842886 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 -164.455 1.5707963267948966 flow_45_0 0 5.0 2.0,4.5 -18.63916553680656 1.5707963267948966 flow_30_0 0 5.0 2.0,-186.675 -4.5 0.0 flow_46_0 0 5.0 2.0,4.5 -131.125 1.5707963267948966 flow_41_0 0 5.0 2.0,236.9886321356607 -4.5 0.0 flow_28_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,-220.005 -4.5 0.0 flow_47_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,-4.5 -2.19500000000015 -1.5707963267948966 flow_35_0 0 5.0 2.0,-264.2083558880287 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,4.5 -197.78500000000003 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 -55.04493897585559 1.5707963267948966 flow_37_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 -32.199013731555229 1.5707963267948966 flow_34_0 0 5.0 2.0,-284.0 -4.5 0.0 flow_50_0 0 5.0 2.0,153.34500000000004 4.5 3.141592653589793 flow_42_0 0 5.0 2.0,-120.01499999999999 -4.5 0.0 flow_40_0 0 5.0 2.0,153.34500000000004 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,4.5 -40.699013731555229 1.5707963267948966 flow_36_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,-64.46499999999992 -4.5 0.0 flow_38_0 0 5.0 2.0,-236.9886372003796 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-124.40500000000015 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-153.34500000000004 -4.5 0.0 flow_44_0 0 5.0 2.0,4.5 14.986591485737393 1.5707963267948966 flow_25_0 0 5.0 2.0,-253.335 -4.5 0.0 flow_49_0 0 5.0 2.0,4.5 -86.68499999999995 1.5707963267948966 flow_39_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
275.31834686615067 -4.5 0.0 flow_22_0 0 5.0 2.0,4.5 3.2633189041892236 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 -153.34500000000004 1.5707963267948966 flow_45_0 0 5.0 2.0,4.5 -13.710317208477023 1.5707963267948966 flow_30_0 0 5.0 2.0,-175.565 -4.5 0.0 flow_46_0 0 5.0 2.0,4.5 -120.01499999999999 1.5707963267948966 flow_41_0 0 5.0 2.0,248.0985186293152 -4.5 0.0 flow_28_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,-208.89499999999999 -4.5 0.0 flow_47_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,-4.5 -13.305000000000149 -1.5707963267948966 flow_35_0 0 5.0 2.0,-275.31834686615067 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,4.5 -186.675 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 -49.48130406471074 1.5707963267948966 flow_37_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 -29.199013731555227 1.5707963267948966 flow_34_0 0 5.0 2.0,-275.0 -4.5 0.0 flow_50_0 0 5.0 2.0,142.235 4.5 3.141592653589793 flow_42_0 0 5.0 2.0,-108.90499999999997 -4.5 0.0 flow_40_0 0 5.0 2.0,142.235 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,4.5 -39.949013731555229 1.5707963267948966 flow_36_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,-53.354999999999908 -4.5 0.0 flow_38_0 0 5.0 2.0,-248.09852166814657 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-135.51500000000017 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-142.235 -4.5 0.0 flow_44_0 0 5.0 2.0,4.5 25.541591485737393 1.5707963267948966 flow_25_0 0 5.0 2.0,-242.225 -4.5 0.0 flow_49_0 0 5.0 2.0,4.5 -75.57499999999993 1.5707963267948966 flow_39_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
286.4283434829464 -4.5 0.0 flow_22_0 0 5.0 2.0,4.5 12.285627936808489 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 -142.235 1.5707963267948966 flow_45_0 0 5.0 2.0,4.5 -7.42442641920411 1.5707963267948966 flow_30_0 0 5.0 2.0,-164.455 -4.5 0.0 flow_46_0 0 5.0 2.0,4.5 -108.90499999999997 1.5707963267948966 flow_41_0 0 5.0 2.0,259.20844811967376 -4.5 0.0 flow_28_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,-197.78500000000003 -4.5 0.0 flow_47_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,-4.5 -24.41500000000015 -1.5707963267948966 flow_35_0 0 5.0 2.0,-286.4283434829464 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,4.5 -175.565 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 -47.30180770017628 1.5707963267948966 flow_37_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 -24.391856272647148 1.5707963267948966 flow_34_0 0 5.0 2.0,-264.445 -4.5 0.0 flow_50_0 0 5.0 2.0,131.125 4.5 3.141592653589793 flow_42_0 0 5.0 2.0,-97.79499999999996 -4.5 0.0 flow_40_0 0 5.0 2.0,131.125 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,4.5 -37.449013731555229 1.5707963267948966 flow_36_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,-42.24499999999989 -4.5 0.0 flow_38_0 0 5.0 2.0,-259.2084499429726 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-146.62500000000015 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-131.125 -4.5 0.0 flow_44_0 0 5.0 2.0,4.5 36.651591485737387 1.5707963267948966 flow_25_0 0 5.0 2.0,-231.115 -4.5 0.0 flow_49_0 0 5.0 2.0,4.5 -65.461546035542 1.5707963267948966 flow_39_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
297.5383434829464 -4.5 0.0 flow_22_0 0 5.0 2.0,4.5 22.25401335638005 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 -131.125 1.5707963267948966 flow_45_0 0 5.0 2.0,4.5 0.26405712972478137 1.5707963267948966 flow_30_0 0 5.0 2.0,-153.34500000000004 -4.5 0.0 flow_46_0 0 5.0 2.0,4.5 -97.79499999999996 1.5707963267948966 flow_41_0 0 5.0 2.0,270.31840558834196 -4.5 0.0 flow_28_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,-186.675 -4.5 0.0 flow_47_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,-4.5 -35.52500000000015 -1.5707963267948966 flow_35_0 0 5.0 2.0,-297.5383434829464 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,4.5 -164.455 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 -299.0 1.5707963267948966 flow_51_0 0 5.0 2.0,4.5 -45.33996274510832 1.5707963267948966 flow_37_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 -18.34770617341536 1.5707963267948966 flow_34_0 0 5.0 2.0,-253.335 -4.5 0.0 flow_50_0 0 5.0 2.0,120.01499999999999 4.5 3.141592653589793 flow_42_0 0 5.0 2.0,-86.68499999999995 -4.5 0.0 flow_40_0 0 5.0 2.0,120.01499999999999 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,4.5 -33.31471925621037 1.5707963267948966 flow_36_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,-31.134999999999878 -4.5 0.0 flow_38_0 0 5.0 2.0,-270.31840668232129 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-157.73500000000014 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-299.0 -4.5 0.0 flow_52_0 0 5.0 2.0,-120.01499999999999 -4.5 0.0 flow_44_0 0 5.0 2.0,4.5 47.76159148573739 1.5707963267948966 flow_25_0 0 5.0 2.0,-220.005 -4.5 0.0 flow_49_0 0 5.0 2.0,4.5 -58.17495990850412 1.5707963267948966 flow_39_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
4.5 32.679044608122989 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 -120.01499999999999 1.5707963267948966 flow_45_0 0 5.0 2.0,4.5 9.053716704301199 1.5707963267948966 flow_30_0 0 5.0 2.0,-142.235 -4.5 0.0 flow_46_0 0 5.0 2.0,4.5 -86.68499999999995 1.5707963267948966 flow_41_0 0 5.0 2.0,281.42838074618376 -4.5 0.0 flow_28_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,-175.565 -4.5 0.0 flow_47_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,-4.5 -46.63500000000014 -1.5707963267948966 flow_35_0 0 5.0 2.0,4.5 -153.34500000000004 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 -296.0 1.5707963267948966 flow_51_0 0 5.0 2.0,4.5 -41.79645827516367 1.5707963267948966 flow_37_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 -11.365304142373532 1.5707963267948966 flow_34_0 0 5.0 2.0,-242.225 -4.5 0.0 flow_50_0 0 5.0 2.0,108.90499999999997 4.5 3.141592653589793 flow_42_0 0 5.0 2.0,-75.57499999999993 -4.5 0.0 flow_40_0 0 5.0 2.0,108.90499999999997 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,4.5 -28.119084003245975 1.5707963267948966 flow_36_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,-21.87666666666655 -4.5 0.0 flow_38_0 0 5.0 2.0,-281.4283814025713 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-168.84500000000015 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-296.0 -4.5 0.0 flow_52_0 0 5.0 2.0,-108.90499999999997 -4.5 0.0 flow_44_0 0 5.0 2.0,4.5 58.87159148573739 1.5707963267948966 flow_25_0 0 5.0 2.0,-208.89499999999999 -4.5 0.0 flow_49_0 0 5.0 2.0,4.5 -53.58364381773822 1.5707963267948966 flow_39_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
4.5 43.37806335916875 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 -108.90499999999997 1.5707963267948966 flow_45_0 0 5.0 2.0,4.5 18.588854116178504 1.5707963267948966 flow_30_0 0 5.0 2.0,-131.125 -4.5 0.0 flow_46_0 0 5.0 2.0,4.5 -75.57499999999993 1.5707963267948966 flow_41_0 0 5.0 2.0,292.5383714303744 -4.5 0.0 flow_28_0 0 5.0 2.0,1.5 -10.766666666666595 1.5707963267948966 flow_21_0 0 5.0 2.0,-164.455 -4.5 0.0 flow_47_0 0 5.0 2.0,1.5 -18.266666666666596 1.5707963267948966 flow_26_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,-4.5 -57.74500000000015 -1.5707963267948966 flow_35_0 0 5.0 2.0,4.5 -142.235 1.5707963267948966 flow_48_0 0 5.0 2.0,4.5 -291.0 1.5707963267948966 flow_51_0 0 5.0 2.0,4.5 -37.286381515803729 1.5707963267948966 flow_37_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,4.5 -3.4397638887883774 1.5707963267948966 flow_34_0 0 5.0 2.0,-231.115 -4.5 0.0 flow_50_0 0 5.0 2.0,97.79499999999996 4.5 3.141592653589793 flow_42_0 0 5.0 2.0,-64.46499999999992 -4.5 0.0 flow_40_0 0 5.0 2.0,97.79499999999996 1.5 3.141592653589793 flow_43_0 0 5.0 2.0,4.5 -22.021091652688598 1.5707963267948966 flow_36_0 0 5.0 2.0,1.5 -25.766666666666596 1.5707963267948966 flow_31_0 0 5.0 2.0,-15.704444444444335 -4.5 0.0 flow_38_0 0 5.0 2.0,-292.5383719226651 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-179.95500000000016 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-291.0 -4.5 0.0 flow_52_0 0 5.0 2.0,-97.79499999999996 -4.5 0.0 flow_44_0 0 5.0 2.0,4.5 69.9815914857374 1.5707963267948966 flow_25_0 0 5.0 2.0,-197.78500000000003 -4.5 0.0 flow_49_0 0 5.0 2.0,4.5 -49.91062676971029 1.5707963267948966 flow_39_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
