;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 186.675 -1.5707963267948966 flow_0_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 175.565 -1.5707963267948966 flow_0_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 164.455 -1.5707963267948966 flow_0_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 153.34500000000004 -1.5707963267948966 flow_0_0 0 5.0 2.0,299.0 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 142.235 -1.5707963267948966 flow_0_0 0 5.0 2.0,296.0 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 131.125 -1.5707963267948966 flow_0_0 0 5.0 2.0,291.0 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 120.01499999999999 -1.5707963267948966 flow_0_0 0 5.0 2.0,284.0 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 108.90499999999997 -1.5707963267948966 flow_0_0 0 5.0 2.0,275.0 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 97.79499999999996 -1.5707963267948966 flow_0_0 0 5.0 2.0,264.445 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
299.0 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 86.68499999999995 -1.5707963267948966 flow_0_0 0 5.0 2.0,253.335 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
296.0 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 75.57499999999993 -1.5707963267948966 flow_0_0 0 5.0 2.0,242.225 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
291.0 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 64.46499999999992 -1.5707963267948966 flow_0_0 0 5.0 2.0,231.115 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
284.0 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 53.354999999999908 -1.5707963267948966 flow_0_0 0 5.0 2.0,299.0 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,220.005 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
275.0 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 42.24499999999989 -1.5707963267948966 flow_0_0 0 5.0 2.0,296.0 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,208.89499999999999 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
264.445 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 31.134999999999878 -1.5707963267948966 flow_0_0 0 5.0 2.0,291.0 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,197.78500000000003 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,-299.0 -4.5 0.0 flow_4_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
253.335 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 20.024999999999865 -1.5707963267948966 flow_0_0 0 5.0 2.0,284.0 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,186.675 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,-296.0 -4.5 0.0 flow_4_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
242.225 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 8.91499999999985 -1.5707963267948966 flow_0_0 0 5.0 2.0,275.0 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,175.565 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,299.0 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,-291.0 -4.5 0.0 flow_4_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
